No.,Date and time,Pressure [BAR] (1),TOUGH SONIC [mm] (2)
427,2017-09-19 16:14:46.7,-33.35,1991
428,2017-09-19 16:14:47.7,-33.5,1982
429,2017-09-19 16:14:48.7,-33.5,1985
430,2017-09-19 16:14:49.7,-33.57,1987
431,2017-09-19 16:14:50.7,-33.6,1987
432,2017-09-19 16:14:51.7,-33.6,1986
433,2017-09-19 16:14:52.7,-33.6,1989
434,2017-09-19 16:14:53.7,-33.65,1992
435,2017-09-19 16:14:54.7,-33.65,1990
436,2017-09-19 16:14:55.7,-33.63,1996
437,2017-09-19 16:14:56.7,-33.58,1995
438,2017-09-19 16:14:57.7,-33.6,1990
439,2017-09-19 16:14:58.7,-33.65,1991
440,2017-09-19 16:14:59.7,-33.6,1995
441,2017-09-19 16:15:00.7,-33.65,1990
442,2017-09-19 16:15:01.7,-33.65,1993
443,2017-09-19 16:15:02.7,-33.65,1991
444,2017-09-19 16:15:03.7,-33.67,1990
445,2017-09-19 16:15:04.7,-33.65,1996
446,2017-09-19 16:15:05.7,-33.67,1991
447,2017-09-19 16:15:06.7,-33.7,1995
448,2017-09-19 16:15:07.7,-33.68,1992
449,2017-09-19 16:15:08.7,-33.7,1995
450,2017-09-19 16:15:09.7,-33.72,1992
451,2017-09-19 16:15:10.7,-33.77,1990
452,2017-09-19 16:15:11.7,-33.75,1995
453,2017-09-19 16:15:12.7,-33.77,2002
454,2017-09-19 16:15:13.7,-33.8,1998
455,2017-09-19 16:15:14.7,-33.8,1993
456,2017-09-19 16:15:15.7,-33.8,2000
457,2017-09-19 16:15:16.7,-33.8,1995
458,2017-09-19 16:15:17.7,-33.8,1995
459,2017-09-19 16:15:18.7,-33.8,1989
460,2017-09-19 16:15:19.7,-33.8,1989
461,2017-09-19 16:15:20.7,-33.8,1996
462,2017-09-19 16:15:21.7,-33.85,1995
463,2017-09-19 16:15:22.7,-33.85,1996
464,2017-09-19 16:15:23.7,-33.85,1992
465,2017-09-19 16:15:24.7,-33.83,1998
466,2017-09-19 16:15:25.7,-33.85,1992
467,2017-09-19 16:15:26.7,-33.87,1990
468,2017-09-19 16:15:27.7,-33.87,1992
469,2017-09-19 16:15:28.7,-33.89,1995
470,2017-09-19 16:15:29.7,-33.9,1999
471,2017-09-19 16:15:30.7,-33.92,1995
472,2017-09-19 16:15:31.7,-33.92,1993
473,2017-09-19 16:15:32.7,-33.92,1992
474,2017-09-19 16:15:33.7,-33.93,1990
475,2017-09-19 16:15:34.7,-33.95,1993
476,2017-09-19 16:15:35.7,-33.93,1993
477,2017-09-19 16:15:36.7,-33.93,1993
478,2017-09-19 16:15:37.7,-33.95,1992
479,2017-09-19 16:15:38.7,-33.93,1993
480,2017-09-19 16:15:39.7,-33.93,1990
481,2017-09-19 16:15:40.7,-33.95,1991
482,2017-09-19 16:15:41.7,-33.95,1995
483,2017-09-19 16:15:42.7,-33.95,1998
484,2017-09-19 16:15:43.7,-33.95,1993
485,2017-09-19 16:15:44.7,-33.95,1995
486,2017-09-19 16:15:45.7,-33.95,2823
487,2017-09-19 16:15:49.0,-33.95,1995
488,2017-09-19 16:15:50.0,-33.96,1996
489,2017-09-19 16:15:51.0,-33.97,1995
490,2017-09-19 16:15:52.0,-33.97,1990
491,2017-09-19 16:15:53.0,-33.95,1995
492,2017-09-19 16:15:54.0,-33.95,2000
493,2017-09-19 16:15:55.0,-33.97,1995
